survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
Rasmussen,None,2009-01-23,2009-01-25,Automated Phone,,Likely Voters,1500,60,37,,3
Rasmussen,None,2009-01-24,2009-01-26,Automated Phone,,Likely Voters,1500,62,36,,3
Gallup,None,2009-01-24,2009-01-26,Live Phone,,Adults,1500,65,15,,3
Gallup,None,2009-01-25,2009-01-27,Live Phone,,Adults,1500,64,16,,3
Rasmussen,None,2009-01-25,2009-01-27,Automated Phone,,Likely Voters,1500,62,36,,3
Gallup,None,2009-01-26,2009-02-01,Live Phone,,Adults (Democrats),,88,,,
Gallup,None,2009-01-26,2009-02-01,Live Phone,,Adults (Republicans),,38,,,
Gallup,None,2009-01-26,2009-02-01,Live Phone,,Adults (Independents),,62,,,
Democracy Corps (D),Democrat,2009-01-26,2009-01-29,Live Phone,,Likely Voters,1000,55,20,24,3
Democracy Corps (D),Democrat,2009-01-26,2009-01-29,Live Phone,,Likely Voters (Democrats),414,85,2,13,
Democracy Corps (D),Democrat,2009-01-26,2009-01-29,Live Phone,,Likely Voters (Republicans),311,24,45,31,
Democracy Corps (D),Democrat,2009-01-26,2009-01-29,Live Phone,,Likely Voters (Independents),260,47,20,33,
Gallup,None,2009-01-26,2009-01-28,Live Phone,,Adults,1500,64,17,,3
Rasmussen,None,2009-01-26,2009-01-28,Automated Phone,,Likely Voters,1500,62,36,,3
Gallup,None,2009-01-27,2009-01-29,Live Phone,,Adults,1500,66,17,,3
Rasmussen,None,2009-01-27,2009-01-29,Automated Phone,,Likely Voters,1500,63,36,,3
FOX,None,2009-01-27,2009-01-28,Live Phone,,Registered Voters,900,65,16,19,3
FOX,None,2009-01-27,2009-01-28,Live Phone,,Registered Voters (Democrats),397,85,2,12,5
FOX,None,2009-01-27,2009-01-28,Live Phone,,Registered Voters (Republicans),371,37,36,27,6
FOX,None,2009-01-27,2009-01-28,Live Phone,,Registered Voters (Independents),196,64,16,19,7
Gallup,None,2009-01-28,2009-01-30,Live Phone,,Adults,1500,67,17,,3
Rasmussen,None,2009-01-28,2009-01-30,Automated Phone,,Likely Voters,1500,63,34,,3
Gallup,None,2009-01-29,2009-01-31,Live Phone,,Adults,1500,67,18,,3
Rasmussen,None,2009-01-29,2009-01-31,Automated Phone,,Likely Voters,1500,63,34,,3
USA Today/Gallup,None,2009-01-30,2009-02-01,Live Phone,,Adults,1027,64,25,11,3
Gallup,None,2009-01-30,2009-02-01,Live Phone,,Adults,1500,66,19,,3
Rasmussen,None,2009-01-30,2009-02-01,Automated Phone,,Likely Voters,1500,60,38,,3
Gallup,None,2009-01-31,2009-02-02,Live Phone,,Adults,1500,66,19,,3
Rasmussen,None,2009-01-31,2009-02-02,Automated Phone,,Likely Voters,1500,61,36,,3
Gallup,None,2009-02-01,2009-02-03,Live Phone,,Adults,1500,65,20,,3
Rasmussen,None,2009-02-01,2009-02-03,Automated Phone,,Likely Voters,1500,62,36,,3
Gallup,None,2009-02-02,2009-02-08,Live Phone,,Adults (Democrats),,89,,,
Gallup,None,2009-02-02,2009-02-08,Live Phone,,Adults (Republicans),,34,,,
Gallup,None,2009-02-02,2009-02-08,Live Phone,,Adults (Independents),,63,,,
CBS News,None,2009-02-02,2009-02-04,Live Phone,,Adults,864,62,15,23,3
CBS News,None,2009-02-02,2009-02-04,Live Phone,,Adults (Democrats),305,86,2,12,
CBS News,None,2009-02-02,2009-02-04,Live Phone,,Adults (Republicans),233,36,36,28,
CBS News,None,2009-02-02,2009-02-04,Live Phone,,Adults (Independents),326,56,12,32,
Gallup,None,2009-02-02,2009-02-04,Live Phone,,Adults,1500,65,20,,3
Rasmussen,None,2009-02-02,2009-02-04,Automated Phone,,Likely Voters,1500,62,36,,3
Gallup,None,2009-02-03,2009-02-05,Live Phone,,Adults,1500,63,21,,3
Rasmussen,None,2009-02-03,2009-02-05,Automated Phone,,Likely Voters,1500,61,36,,3
Pew,None,2009-02-04,2009-02-08,Live Phone,,Adults,1303,64,17,19,3
Pew,None,2009-02-04,2009-02-08,Live Phone,,Adults (Democrats),447,88,3,9,5.5
Pew,None,2009-02-04,2009-02-08,Live Phone,,Adults (Republicans),345,34,41,25,6
Pew,None,2009-02-04,2009-02-08,Live Phone,,Adults (Independents),420,63,14,23,5.5
Gallup,None,2009-02-04,2009-02-06,Live Phone,,Adults,1500,65,20,,3
Rasmussen,None,2009-02-04,2009-02-06,Automated Phone,,Likely Voters,1500,60,38,,3
Ipsos/McClatchy,None,2009-02-05,2009-02-09,Live Phone,,Registered Voters,841,69,26,1,3.4
Gallup,None,2009-02-05,2009-02-07,Live Phone,,Adults,1500,64,22,,3
Rasmussen,None,2009-02-05,2009-02-07,Automated Phone,,Likely Voters,1500,59,39,,3
Gallup,None,2009-02-06,2009-02-08,Live Phone,,Adults,1500,66,21,,3
Rasmussen,None,2009-02-06,2009-02-08,Automated Phone,,Likely Voters,1500,60,38,,3
Gallup,None,2009-02-07,2009-02-09,Live Phone,,Adults,1500,63,23,,3
Rasmussen,None,2009-02-07,2009-02-09,Automated Phone,,Likely Voters,1500,60,38,,3
CNN,None,2009-02-07,2009-02-08,Live Phone,,Adults,806,76,23,1,3.5
Gallup,None,2009-02-08,2009-02-10,Live Phone,,Adults,1500,63,22,,3
Rasmussen,None,2009-02-08,2009-02-10,Automated Phone,,Likely Voters,1500,60,38,,3
Gallup,None,2009-02-09,2009-02-15,Live Phone,,Adults (Democrats),,89,,,
Gallup,None,2009-02-09,2009-02-15,Live Phone,,Adults (Republicans),,28,,,
Gallup,None,2009-02-09,2009-02-15,Live Phone,,Adults (Independents),,59,,,
Gallup,None,2009-02-09,2009-02-12,Live Phone,,Adults,1022,63,26,11,3
Gallup,None,2009-02-09,2009-02-11,Live Phone,,Adults,1500,64,21,,3
Rasmussen,None,2009-02-09,2009-02-11,Automated Phone,,Likely Voters,1500,61,37,,3
Democracy Corps (D),Democrat,2009-02-09,2009-02-10,Live Phone,,Likely Voters,1000,58,27,16,3
Democracy Corps (D),Democrat,2009-02-09,2009-02-10,Live Phone,,Likely Voters (Democrats),412,87,4,9,
Democracy Corps (D),Democrat,2009-02-09,2009-02-10,Live Phone,,Likely Voters (Republicans),321,24,56,20,
Democracy Corps (D),Democrat,2009-02-09,2009-02-10,Live Phone,,Likely Voters (Independents),250,51,28,21,
Gallup,None,2009-02-10,2009-02-12,Live Phone,,Adults,1500,66,21,,3
Rasmussen,None,2009-02-10,2009-02-12,Automated Phone,,Likely Voters,1500,60,38,,3
Gallup,None,2009-02-11,2009-02-14,Live Phone,,Adults,1500,66,21,,3
Rasmussen,None,2009-02-11,2009-02-13,Automated Phone,,Likely Voters,1500,60,39,,3
AP-GFK,None,2009-02-12,2009-02-17,Live Phone,,Adults,1001,67,24,16,3.1
Gallup,None,2009-02-12,2009-02-15,Live Phone,,Adults,1500,64,23,,3
Rasmussen,None,2009-02-12,2009-02-14,Automated Phone,,Likely Voters,1500,60,39,,3
Rasmussen,None,2009-02-13,2009-02-15,Automated Phone,,Likely Voters,1500,60,39,,3
InsiderAdvantage,None,2009-02-13,2009-02-13,Automated Phone,,Likely Voters,807,54,42,4,3.4
Gallup,None,2009-02-14,2009-02-16,Live Phone,,Adults,1500,62,25,,3
Rasmussen,None,2009-02-14,2009-02-16,Automated Phone,,Likely Voters,1500,61,37,,3
ARG,None,2009-02-15,2009-02-18,Live Phone,,Adults,1100,60,33,7,2.6
ARG,None,2009-02-15,2009-02-18,Live Phone,,Adults (Democrats),495,84,14,,
ARG,None,2009-02-15,2009-02-18,Live Phone,,Adults (Republicans),352,22,67,,
ARG,None,2009-02-15,2009-02-18,Live Phone,,Adults (Independents),253,53,39,,
Gallup,None,2009-02-15,2009-02-17,Live Phone,,Adults,1500,62,25,,3
Rasmussen,None,2009-02-15,2009-02-17,Automated Phone,,Likely Voters,1500,61,38,,3
Gallup,None,2009-02-16,2009-02-22,Live Phone,,Adults (Democrats),,89,,,
Gallup,None,2009-02-16,2009-02-22,Live Phone,,Adults (Republicans),,28,,,
Gallup,None,2009-02-16,2009-02-22,Live Phone,,Adults (Independents),,59,,,
Gallup,None,2009-02-16,2009-02-18,Live Phone,,Adults,1500,62,25,,3
Rasmussen,None,2009-02-16,2009-02-18,Automated Phone,,Likely Voters,1500,60,39,,3
NCSC,None,2009-02-17,2009-03-08,Live Phone,,Adults,1200,65,18,17,3
Gallup,None,2009-02-17,2009-02-19,Live Phone,,Adults,1500,63,24,,3
Rasmussen,None,2009-02-17,2009-02-19,Automated Phone,,Likely Voters,1500,59,40,,3
FOX,None,2009-02-17,2009-02-18,Live Phone,,Registered Voters,900,60,26,14,3
FOX,None,2009-02-17,2009-02-18,Live Phone,,Registered Voters (Democrats),375,90,5,5,5
FOX,None,2009-02-17,2009-02-18,Live Phone,,Registered Voters (Republicans),319,29,53,18,5.5
FOX,None,2009-02-17,2009-02-18,Live Phone,,Registered Voters (Independents),166,62,19,19,8
CBS/Times,None,2009-02-18,2009-02-22,Live Phone,,Adults,1112,63,22,15,3
CBS/Times,None,2009-02-18,2009-02-22,Live Phone,,Adults (Democrats),397,88,3,9,
CBS/Times,None,2009-02-18,2009-02-22,Live Phone,,Adults (Republicans),315,44,38,18,
CBS/Times,None,2009-02-18,2009-02-22,Live Phone,,Adults (Independents),400,52,30,18,
Gallup,None,2009-02-18,2009-02-20,Live Phone,,Adults,1500,63,24,,3
Rasmussen,None,2009-02-18,2009-02-20,Automated Phone,,Likely Voters,1500,57,41,,3
CNN,None,2009-02-18,2009-02-19,Live Phone,,Adults,1046,67,29,4,3
ABC/Post,None,2009-02-19,2009-02-22,Live Phone,,Adults,1001,68,25,7,3
Gallup,None,2009-02-19,2009-02-21,Live Phone,,Adults,1500,63,24,,3
Rasmussen,None,2009-02-19,2009-02-21,Automated Phone,,Likely Voters,1500,58,41,,3
USA Today/Gallup,None,2009-02-20,2009-02-22,Live Phone,,Adults,1013,62,29,9,3
Gallup,None,2009-02-20,2009-02-22,Live Phone,,Adults,1500,62,25,,3
Rasmussen,None,2009-02-20,2009-02-22,Automated Phone,,Likely Voters,1500,58,40,,3
Gallup,None,2009-02-21,2009-02-23,Live Phone,,Adults,1500,59,25,,3
Rasmussen,None,2009-02-21,2009-02-23,Automated Phone,,Likely Voters,1500,60,39,,3
Gallup,None,2009-02-22,2009-02-24,Live Phone,,Adults,1500,61,24,,3
Rasmussen,None,2009-02-22,2009-02-24,Automated Phone,,Likely Voters,1500,59,40,,3
Gallup,None,2009-02-23,2009-03-01,Live Phone,,Adults (Democrats),,88,,,
Gallup,None,2009-02-23,2009-03-01,Live Phone,,Adults (Republicans),,35,,,
Gallup,None,2009-02-23,2009-03-01,Live Phone,,Adults (Independents),,60,,,
Gallup,None,2009-02-23,2009-02-25,Live Phone,,Adults,1500,65,21,,3
Rasmussen,None,2009-02-23,2009-02-25,Automated Phone,,Likely Voters,1500,60,40,,3
Gallup,None,2009-02-24,2009-02-26,Live Phone,,Adults,1500,67,21,,3
Rasmussen,None,2009-02-24,2009-02-26,Automated Phone,,Likely Voters,1500,60,40,,3
Quinnipiac,None,2009-02-25,2009-03-02,Live Phone,,Registered Voters,2573,59,25,16,1.9
Quinnipiac,None,2009-02-25,2009-03-02,Live Phone,,Registered Voters (Democrats),,90,4,6,
Quinnipiac,None,2009-02-25,2009-03-02,Live Phone,,Registered Voters (Republicans),,26,54,20,
Quinnipiac,None,2009-02-25,2009-03-02,Live Phone,,Registered Voters (Independents),,53,26,20,
Gallup,None,2009-02-25,2009-02-27,Live Phone,,Adults,1500,67,21,,3
Rasmussen,None,2009-02-25,2009-02-27,Automated Phone,,Likely Voters,1500,59,39,,3
NBC/WSJ,None,2009-02-26,2009-03-01,Live Phone,,Adults,1007,60,26,14,3.1
Gallup,None,2009-02-26,2009-02-28,Live Phone,,Adults,1500,64,23,,3
Rasmussen,None,2009-02-26,2009-02-28,Automated Phone,,Likely Voters,1500,58,40,,3
Cook/RT,Republican,2009-02-27,2009-03-01,Live Phone,,Registered Voters,880,57,28,15,3.3
Cook/RT,Republican,2009-02-27,2009-03-01,Live Phone,,Registered Voters (Democrats),317,91,2,8,
Cook/RT,Republican,2009-02-27,2009-03-01,Live Phone,,Registered Voters (Republicans),246,25,61,14,
Cook/RT,Republican,2009-02-27,2009-03-01,Live Phone,,Registered Voters (Independents),264,51,30,19,
Gallup,None,2009-02-27,2009-03-01,Live Phone,,Adults,1500,63,25,,3
Rasmussen,None,2009-02-27,2009-03-01,Automated Phone,,Likely Voters,1500,58,41,,3
Diageo/Hotline,None,2009-02-28,2009-03-02,Live Phone,,Registered Voters,803,67,27,6,3.5
Diageo/Hotline,None,2009-02-28,2009-03-02,Live Phone,,Registered Voters (Democrats),261,94,3,3,
Diageo/Hotline,None,2009-02-28,2009-03-02,Live Phone,,Registered Voters (Republicans),223,38,57,5,
Diageo/Hotline,None,2009-02-28,2009-03-02,Live Phone,,Registered Voters (Independents),287,67,25,9,
Gallup,None,2009-02-28,2009-03-02,Live Phone,,Adults,1500,62,26,,3
Rasmussen,None,2009-02-28,2009-03-02,Automated Phone,,Likely Voters,1500,60,39,,3
Gallup,None,2009-03-01,2009-03-08,Live Phone,,Adults (Democrats),,90,,,
Gallup,None,2009-03-01,2009-03-08,Live Phone,,Adults (Republicans),,27,,,
Gallup,None,2009-03-01,2009-03-08,Live Phone,,Adults (Independents),,60,,,
Rasmussen,None,2009-03-01,2009-03-03,Automated Phone,,Likely Voters,1500,60,38,,3
Gallup,None,2009-03-01,2009-03-03,Live Phone,,Adults,1500,61,28,,3
Zogby (Internet),None,2009-03-02,2009-03-05,Internet,,Likely Voters,3365,52,46,,1.7
Gallup,None,2009-03-02,2009-03-04,Live Phone,,Adults,1500,62,28,,3
Rasmussen,None,2009-03-02,2009-03-04,Automated Phone,,Likely Voters,1500,59,40,,3
Gallup,None,2009-03-03,2009-03-05,Live Phone,,Adults,1500,62,28,,3
Rasmussen,None,2009-03-03,2009-03-05,Automated Phone,,Likely Voters,1500,58,40,,3
FOX,None,2009-03-03,2009-03-04,Live Phone,,Registered Voters,900,63,26,11,3
FOX,None,2009-03-03,2009-03-04,Live Phone,,Registered Voters (Democrats),361,92,3,4,5
FOX,None,2009-03-03,2009-03-04,Live Phone,,Registered Voters (Republicans),285,30,56,13,6
FOX,None,2009-03-03,2009-03-04,Live Phone,,Registered Voters (Independents),197,61,24,15,7
Gallup,None,2009-03-04,2009-03-06,Live Phone,,Adults,1500,62,26,,3
Rasmussen,None,2009-03-04,2009-03-06,Automated Phone,,Likely Voters,1500,56,43,,3
Newsweek,None,2009-03-04,2009-03-05,Live Phone,,Adults,1203,58,26,16,3.5
Newsweek,None,2009-03-04,2009-03-05,Live Phone,,Adults (Democrats),387,86,6,8,6.1
Newsweek,None,2009-03-04,2009-03-05,Live Phone,,Adults (Republicans),318,33,49,18,6.7
Newsweek,None,2009-03-04,2009-03-05,Live Phone,,Adults (Independents),453,51,29,20,5.7
Ipsos/McClatchy,None,2009-03-05,2009-03-09,Live Phone,,Adults,1070,65,29,6,3
Gallup,None,2009-03-05,2009-03-08,Live Phone,,Adults,1012,65,28,7,3
Gallup,None,2009-03-05,2009-03-07,Live Phone,,Adults,1500,62,26,,3
Rasmussen,None,2009-03-05,2009-03-07,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-06,2009-03-08,Live Phone,,Adults,1500,62,25,,3
Rasmussen,None,2009-03-06,2009-03-08,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-07,2009-03-09,Live Phone,,Adults,1500,62,26,,3
Rasmussen,None,2009-03-07,2009-03-09,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-08,2009-03-10,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-08,2009-03-10,Automated Phone,,Likely Voters,1500,56,43,,3
Harris (Internet),None,2009-03-09,2009-03-16,Internet,,Adults,2355,55,45,,
Harris (Internet),None,2009-03-09,2009-03-16,Internet,,Adults (Democrats),,87,13,,
Harris (Internet),None,2009-03-09,2009-03-16,Internet,,Adults (Republicans),,18,82,,
Harris (Internet),None,2009-03-09,2009-03-16,Internet,,Adults (Independents),,51,49,,
Gallup,None,2009-03-09,2009-03-15,Live Phone,,Adults (Democrats),,91,,,
Gallup,None,2009-03-09,2009-03-15,Live Phone,,Adults (Republicans),,26,,,
Gallup,None,2009-03-09,2009-03-15,Live Phone,,Adults (Independents),,59,,,
Pew,None,2009-03-09,2009-03-12,Live Phone,,Adults,1308,59,26,15,3
Pew,None,2009-03-09,2009-03-12,Live Phone,,Adults (Democrats),444,88,5,7,5.5
Pew,None,2009-03-09,2009-03-12,Live Phone,,Adults (Republicans),359,27,56,17,6
Pew,None,2009-03-09,2009-03-12,Live Phone,,Adults (Independents),432,57,27,16,5.5
Gallup,None,2009-03-09,2009-03-11,Live Phone,,Adults,1500,63,27,,3
Rasmussen,None,2009-03-09,2009-03-11,Automated Phone,,Likely Voters,1500,58,41,,3
YouGov/Economist,None,2009-03-09,2009-03-10,Internet,,Adults,1000,56,34,10,
YouGov/Economist,None,2009-03-09,2009-03-10,Internet,,Adults (Democrats),369,93,4,4,
YouGov/Economist,None,2009-03-09,2009-03-10,Internet,,Adults (Republicans),232,10,80,10,
YouGov/Economist,None,2009-03-09,2009-03-10,Internet,,Adults (Independents),319,51,38,10,
NPR,None,2009-03-10,2009-03-14,Live Phone,,Likely Voters,800,59,35,6,3.5
Gallup,None,2009-03-10,2009-03-12,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-10,2009-03-12,Automated Phone,,Likely Voters,1500,57,42,,3
Rasmussen,None,2009-03-11,2009-03-13,Automated Phone,,Likely Voters,1500,57,41,,3
Gallup,None,2009-03-11,2009-03-13,Live Phone,,Adults,1500,61,28,,3
CBS News,None,2009-03-12,2009-03-16,Live Phone,,Adults,1142,62,24,14,3
CBS News,None,2009-03-12,2009-03-16,Live Phone,,Adults (Democrats),419,90,3,7,
CBS News,None,2009-03-12,2009-03-16,Live Phone,,Adults (Republicans),301,23,61,16,
CBS News,None,2009-03-12,2009-03-16,Live Phone,,Adults (Independents),422,58,22,20,
CNN,None,2009-03-12,2009-03-15,Live Phone,,Adults,1019,64,34,2,3
Gallup,None,2009-03-12,2009-03-14,Live Phone,,Adults,1500,61,29,,3
Rasmussen,None,2009-03-12,2009-03-14,Automated Phone,,Likely Voters,1500,56,43,,3
PPP (D),Democrat,2009-03-13,2009-03-15,Automated Phone,,Registered Voters,691,55,37,8,3.7
PPP (D),Democrat,2009-03-13,2009-03-15,Automated Phone,,Registered Voters (Democrats),,93,4,3,
PPP (D),Democrat,2009-03-13,2009-03-15,Automated Phone,,Registered Voters (Republicans),,14,72,14,
PPP (D),Democrat,2009-03-13,2009-03-15,Automated Phone,,Registered Voters (Independents),,41,50,9,
Gallup,None,2009-03-13,2009-03-15,Live Phone,,Adults,1500,61,28,,3
Rasmussen,None,2009-03-13,2009-03-15,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-14,2009-03-16,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-14,2009-03-16,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-15,2009-03-17,Live Phone,,Adults,1500,61,28,,3
Rasmussen,None,2009-03-15,2009-03-17,Automated Phone,,Likely Voters,1500,57,42,,3
Gallup,None,2009-03-16,2009-03-22,Live Phone,,Adults (Democrats),,90,,,
Gallup,None,2009-03-16,2009-03-22,Live Phone,,Adults (Republicans),,27,,,
Gallup,None,2009-03-16,2009-03-22,Live Phone,,Adults (Independents),,62,,,
ARG,None,2009-03-16,2009-03-19,Live Phone,,Adults,1100,56,37,7,2.6
ARG,None,2009-03-16,2009-03-19,Live Phone,,Adults (Democrats),484,86,12,2,
ARG,None,2009-03-16,2009-03-19,Live Phone,,Adults (Republicans),363,24,64,12,
ARG,None,2009-03-16,2009-03-19,Live Phone,,Adults (Independents),242,47,46,7,
Gallup,None,2009-03-16,2009-03-18,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-16,2009-03-18,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-17,2009-03-19,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-17,2009-03-19,Automated Phone,,Likely Voters,1500,55,43,,3
Gallup,None,2009-03-18,2009-03-20,Live Phone,,Adults,1500,64,26,,3
Rasmussen,None,2009-03-18,2009-03-20,Automated Phone,,Likely Voters,1500,55,44,,3
Gallup,None,2009-03-19,2009-03-21,Live Phone,,Adults,1500,65,26,,3
Rasmussen,None,2009-03-19,2009-03-21,Automated Phone,,Likely Voters,1500,56,43,,3
Zogby (Internet),None,2009-03-20,2009-03-23,Internet,,Likely Voters,4523,49,50,,1.5
CBS News,None,2009-03-20,2009-03-22,Live Phone,,Adults,949,64,20,16,3
CBS News,None,2009-03-20,2009-03-22,Live Phone,,Adults (Democrats),343,87,2,11,
CBS News,None,2009-03-20,2009-03-22,Live Phone,,Adults (Republicans),252,35,50,15,
CBS News,None,2009-03-20,2009-03-22,Live Phone,,Adults (Independents),354,60,17,23,
Gallup,None,2009-03-20,2009-03-22,Live Phone,,Adults,1500,65,26,,3
Rasmussen,None,2009-03-20,2009-03-22,Automated Phone,,Likely Voters,1500,56,42,,3
Gallup,None,2009-03-21,2009-03-23,Live Phone,,Adults,1500,63,27,,3
Rasmussen,None,2009-03-21,2009-03-23,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-22,2009-03-24,Live Phone,,Adults,1500,63,27,,3
Rasmussen,None,2009-03-22,2009-03-24,Automated Phone,,Likely Voters,1500,56,43,,3
Gallup,None,2009-03-23,2009-03-29,Live Phone,,Adults (Democrats),,92,,,
Gallup,None,2009-03-23,2009-03-29,Live Phone,,Adults (Republicans),,28,,,
Gallup,None,2009-03-23,2009-03-29,Live Phone,,Adults (Independents),,57,,,
Gallup,None,2009-03-23,2009-03-25,Live Phone,,Adults,1500,62,29,,3
Rasmussen,None,2009-03-23,2009-03-25,Automated Phone,,Likely Voters,1500,56,43,,3
Quinnipiac,None,2009-03-24,2009-03-30,Live Phone,,Registered Voters,2326,58,31,11,2
Quinnipiac,None,2009-03-24,2009-03-30,Live Phone,,Registered Voters (Democrats),,90,4,6,
Quinnipiac,None,2009-03-24,2009-03-30,Live Phone,,Registered Voters (Republicans),,25,60,15,
Quinnipiac,None,2009-03-24,2009-03-30,Live Phone,,Registered Voters (Independents),,56,32,12,
Gallup,None,2009-03-24,2009-03-26,Live Phone,,Adults,1500,62,27,,3
Rasmussen,None,2009-03-24,2009-03-26,Automated Phone,,Likely Voters,1500,56,43,,3
Democracy Corps (D),Democrat,2009-03-25,2009-03-29,Live Phone,,Likely Voters,1000,58,34,8,3
Democracy Corps (D),Democrat,2009-03-25,2009-03-29,Live Phone,,Likely Voters (Democrats),406,92,4,4,
Democracy Corps (D),Democrat,2009-03-25,2009-03-29,Live Phone,,Likely Voters (Republicans),318,23,68,9,
Democracy Corps (D),Democrat,2009-03-25,2009-03-29,Live Phone,,Likely Voters (Independents),256,49,40,11,
Gallup,None,2009-03-25,2009-03-27,Live Phone,,Adults,1500,62,29,,3
Rasmussen,None,2009-03-25,2009-03-27,Automated Phone,,Likely Voters,1500,56,43,,3
Diageo/Hotline,None,2009-03-26,2009-03-29,Live Phone,,Registered Voters,800,63,31,6,3.5
Diageo/Hotline,None,2009-03-26,2009-03-29,Live Phone,,Registered Voters (Democrats),269,95,4,1,
Diageo/Hotline,None,2009-03-26,2009-03-29,Live Phone,,Registered Voters (Republicans),221,28,64,8,
Diageo/Hotline,None,2009-03-26,2009-03-29,Live Phone,,Registered Voters (Independents),278,63,30,7,
ABC/Post,None,2009-03-26,2009-03-29,Live Phone,,Adults,1000,66,29,5,3
Gallup,None,2009-03-26,2009-03-28,Live Phone,,Adults,1500,60,31,,3
